*IW1-HORZ** L=1 : MNP1, L=2 : MNP3 (Z=0), L=3: MNP5                        
    0.000     2.198     0.000     0.020     3
 -0.20684  -1.43623   0.58378  -0.78109
   0.0    0.0    0.0    0.0    0.0    0.7    0.7    2.4    4.1    8.3
  13.4   17.6   26.9   48.0   66.6   86.0  140.0  192.3  226.9  286.8
 416.8  517.2  598.2  688.5  831.9  939.9  889.3  852.2  769.5  597.3
 453.9  382.2  260.6  174.6  138.3  113.0   69.1   51.4   38.7   32.8
  18.5   13.4   10.0    7.5    5.0    4.1    2.4    3.3    0.0    0.0
   0.0
  1.00000   0.00000   0.00000   1.00000
   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   1.8    5.9   14.1   20.2   36.5   54.8   93.5  144.4  199.4  453.9
 559.8 1046.5 1225.7 1635.0 1445.6 1449.7  879.5  415.2  205.5   73.1
  22.2   12.0    3.9    1.8    0.0    0.0    0.0    0.0    0.0    0.0
   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   0.0
  1.00000   1.51000   0.00000   1.00000
   5.3    7.9    6.0    7.9   11.3   15.9   21.8   21.2   25.2   31.8
  39.1   70.2   73.5   73.5   83.4  128.4  206.5  219.8  275.4  343.5
 379.3  595.1  714.9  714.9  723.5  761.2  665.3  630.2  629.5  546.8
 438.9  314.4  262.1  235.7  191.3  152.2   96.6   61.6   56.9   48.3
  35.1   23.2   13.9   11.3    9.9    7.3    4.0    3.3    2.6    2.0
   1.3
   2    9     0.010     0.100     1.000     0.012     0.009     0.000

