#BLTrackFile2 CALOCNTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-9.65711 33.7501 18000 1.94478 -0.86792 68.9498 135.332 211 109 1 1 1 0 0 0 0 0 0 120.093 17794.5 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
32.242 10.7277 18000 1.80411 1.9829 58.4705 157.16 211 1723 1 1 1 0 0 0 0 0 0 143.22 18006.3 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-18.341 1.00765 18000 0.970365 -1.45176 67.4972 137.842 211 4559 1 1005 1 0 0 0 0 0 0 122.623 17784 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
-9.65711 33.7501 18000 1.94478 -0.86792 68.9498 135.332 211 109 1 1 1 0 0 0 0 0 0 120.093 17794.5 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
32.242 10.7277 18000 1.80411 1.9829 58.4705 157.16 211 1723 1 1 1 0 0 0 0 0 0 143.22 18006.3 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-18.341 1.00765 18000 0.970365 -1.45176 67.4972 137.842 211 4559 1 1005 1 0 0 0 0 0 0 122.623 17784 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
-9.65711 33.7501 18000 1.94478 -0.86792 68.9498 135.332 211 109 1 1 1 0 0 0 0 0 0 120.093 17794.5 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
32.242 10.7277 18000 1.80411 1.9829 58.4705 157.16 211 1723 1 1 1 0 0 0 0 0 0 143.22 18006.3 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-18.341 1.00765 18000 0.970365 -1.45176 67.4972 137.842 211 4559 1 1005 1 0 0 0 0 0 0 122.623 17784 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
21.4679 2.89175 18000 2.3122 0.492197 63.0738 145.769 211 8934 1 1 1 0 0 0 0 0 0 131.521 17831 0 0 0 20.4464 1.07379 149.95 1.42415 13.6086 
-16.2323 0.0708758 18000 -1.21827 -0.175602 63.9281 143.891 211 9498 1 1 1 0 0 0 0 0 0 129.482 17783.1 0 0 0 -6.8496 0.485174 149.95 1.4684 13.949 
-5.61593 0.244596 18000 -1.19752 0.152973 64.0006 143.893 211 12807 1 1 1 0 0 0 0 0 0 129.296 17777.7 0 0 0 4.39968 0.814204 149.95 1.64679 13.9791 
