#BLTrackFile2 CALOENTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-32.2626 43.8385 17198.5 1.94478 -0.86792 68.9498 129.296 211 109 1 1 1 0 0 0 0 0 0 114.681 16992.7 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
7.51321 -16.4517 17198.5 1.80411 1.9829 58.4705 150.241 211 1723 1 1 1 0 0 0 0 0 0 136.839 17204 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-29.8629 18.2456 17198.5 0.970365 -1.45176 67.4972 131.702 211 4559 1 1005 1 0 0 0 0 0 0 117.095 16982.3 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
-32.2626 43.8385 17198.5 1.94478 -0.86792 68.9498 129.296 211 109 1 1 1 0 0 0 0 0 0 114.681 16992.7 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
7.51321 -16.4517 17198.5 1.80411 1.9829 58.4705 150.241 211 1723 1 1 1 0 0 0 0 0 0 136.839 17204 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-29.8629 18.2456 17198.5 0.970365 -1.45176 67.4972 131.702 211 4559 1 1005 1 0 0 0 0 0 0 117.095 16982.3 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
-32.2626 43.8385 17198.5 1.94478 -0.86792 68.9498 129.296 211 109 1 1 1 0 0 0 0 0 0 114.681 16992.7 0 0 0 30.7105 8.23386 149.95 1.37135 16.1168 
7.51321 -16.4517 17198.5 1.80411 1.9829 58.4705 150.241 211 1723 1 1 1 0 0 0 0 0 0 136.839 17204 0 0 0 -18.108 -1.83361 149.95 1.85562 11.7765 
-29.8629 18.2456 17198.5 0.970365 -1.45176 67.4972 131.702 211 4559 1 1005 1 0 0 0 0 0 0 117.095 16982.3 0 0 0 14.9779 -8.9572 149.95 1.62462 15.4742 
-7.91216 -3.36238 17198.5 2.3122 0.492197 63.0738 139.276 211 8934 1 1 1 0 0 0 0 0 0 125.605 17029 0 0 0 20.4464 1.07379 149.95 1.42415 13.6086 
-0.959174 2.27236 17198.5 -1.21827 -0.175602 63.9281 137.471 211 9498 1 1 1 0 0 0 0 0 0 123.645 16981.5 0 0 0 -6.8496 0.485174 149.95 1.4684 13.949 
12.321 -94.1213 17198.5 -0.235151 3.38518 69.2403 129.072 211 11351 1 1 1 0 0 0 0 0 0 114.142 16996.3 0 0 0 31.5055 -2.91427 149.95 1.62533 16.2681 
9.38005 -1.67101 17198.5 -1.19752 0.152973 64.0006 137.479 211 12807 1 1 1 0 0 0 0 0 0 123.466 16976.1 0 0 0 4.39968 0.814204 149.95 1.64679 13.9791 
54.2374 20.0646 17198.5 -1.95429 -0.442896 66.9908 132.719 211 13645 1 1 1 0 0 0 0 0 0 118.007 16988.1 0 0 0 31.588 -0.181764 149.95 1.81211 15.2575 
-14.3082 -34.1936 17198.5 -2.24208 5.42749 61.8863 141.571 211 17013 1 1 1 0 0 0 0 0 0 127.638 17043.2 0 0 0 22.4389 -7.992 149.95 1.84466 13.218 
32.5244 -1.7677 17198.5 -2.03405 0.0335841 66.4095 133.411 211 18468 1 1 1 0 0 0 0 0 0 119.085 16995 0 0 0 -4.89902 -1.05627 149.95 1.52086 15.0073 
4.46243 -4.05754 17198.5 -1.11402 0.332996 62.9301 139.572 211 20736 1 1 1 0 0 0 0 0 0 125.658 16988.3 0 0 0 2.96623 -0.575223 149.95 1.72773 13.5356 
-0.802945 0.0861411 17198.5 -1.89839 0.0135005 63.6411 137.938 211 21129 1 1 1 0 0 0 0 0 0 124.272 16995.5 0 0 0 -15.8022 -0.4731 149.95 1.34575 13.8366 
-6.44493 40.0248 17198.5 -0.0558432 -2.30967 65.201 135.333 211 22257 1 1 1 0 0 0 0 0 0 121.13 16974.8 0 0 0 10.05 -0.973696 149.95 1.62301 14.4958 
20.1686 -0.237624 17198.5 -1.5331 0.0648831 64.6946 136.365 211 23209 1 1 1 0 0 0 0 0 0 122.124 16975.4 0 0 0 7.83502 1.66091 149.95 1.75277 14.2725 
4.98891 -14.0469 17198.5 -3.88392 -1.73841 59.9964 145.948 211 26080 1 1 1 0 0 0 0 0 0 132.161 17074.5 0 0 0 12.6389 2.90581 149.95 2.03764 12.4085 
17.351 -2.23749 17198.5 -0.23884 0.131055 68.3531 130.398 211 26284 1 1 1 0 0 0 0 0 0 115.871 17012.3 0 0 0 -4.86237 -0.796498 149.95 1.37778 15.8391 
-9.31538 12.8943 17198.5 -0.102109 1.00483 70.4859 127.003 211 27108 1 1 1 0 0 0 0 0 0 112.205 16989.7 0 0 0 -1.45743 5.46832 149.95 1.2984 16.792 
-7.90228 -69.9153 17198.5 -2.14797 4.46716 67.8969 131.092 211 28708 1 1 1 0 0 0 0 0 0 116.437 17026.5 0 0 0 -2.33694 -7.78846 149.95 1.54152 15.7179 
7.56562 -35.7273 17198.5 -1.10686 2.02118 66.3436 133.465 211 36033 1 1 1 0 0 0 0 0 0 119.109 16983.7 0 0 0 0.798598 1.55827 149.95 1.57063 14.9828 
