# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1533.0 19832 2.508 90.877 3.119 124.525 6.583 1.517 3.16 1399 2626 2013 -1.384 -0.8106 -1.097 76.23
1543.0 19693 1.781 91.155 3.139 124.566 6.53 1.51 3.139 1417 2645 2031 -1.459 -0.7063 -1.082 76.23
1553.0 19528 1.090 91.198 3.241 124.564 6.456 1.503 3.115 1429 2666 2048 -1.526 -0.6015 -1.064 76.23
1563.0 19364 0.513 91.261 3.307 124.528 6.384 1.497 3.092 1442 2685 2063 -1.597 -0.495 -1.046 76.23
1573.0 19224 0.024 91.669 3.314 124.401 6.335 1.49 3.072 1463 2695 2079 -1.678 -0.3858 -1.032 76.19
1583.0 19069 -0.471 92.043 3.359 124.170 6.286 1.483 3.052 1484 2701 2092 -1.757 -0.275 -1.016 76.16
1593.0 18930 -0.979 92.421 3.261 124.018 6.234 1.478 3.035 1504 2708 2106 -1.836 -0.1645 -1 76.14
1603.0 18794 -1.551 92.935 3.320 123.725 6.189 1.474 3.02 1528 2708 2118 -1.92 -0.05301 -0.9866 76.12
1613.0 18652 -2.223 93.279 3.280 123.474 6.13 1.471 3.002 1547 2711 2129 -1.994 0.05833 -0.9677 76.11
1623.0 18523 -2.915 93.788 3.445 123.166 6.079 1.468 2.987 1572 2711 2141 -2.075 0.1683 -0.9535 76.1
1633.0 18368 -3.417 94.148 3.581 122.758 6.024 1.467 2.973 1591 2704 2148 -2.15 0.2783 -0.9361 76.08
1643.0 18202 -3.803 94.475 3.635 122.266 5.966 1.467 2.958 1609 2695 2152 -2.224 0.3871 -0.9185 76.05
1653.0 18065 -4.695 94.852 3.694 121.863 5.906 1.473 2.949 1626 2685 2156 -2.29 0.4945 -0.8979 76.07
1663.0 17919 -5.229 95.320 3.813 121.387 5.854 1.483 2.945 1643 2665 2154 -2.356 0.5987 -0.8788 76.05
1673.0 17757 -5.935 95.805 3.903 120.684 5.802 1.492 2.942 1662 2637 2149 -2.418 0.6955 -0.8612 76.05
1683.0 17604 -6.470 96.160 3.733 120.123 5.744 1.503 2.938 1675 2614 2145 -2.469 0.7872 -0.841 76.03
1693.0 17459 -6.908 96.694 3.724 119.453 5.692 1.511 2.933 1696 2588 2142 -2.525 0.8679 -0.8285 76
1703.0 17302 -7.324 96.977 3.629 118.838 5.625 1.515 2.919 1714 2573 2143 -2.566 0.9409 -0.8124 75.99
1713.0 17161 -7.652 97.645 3.739 118.064 5.583 1.513 2.906 1744 2550 2147 -2.625 1.001 -0.8124 75.96
1723.0 17015 -8.077 98.070 3.769 117.392 5.524 1.515 2.892 1767 2531 2149 -2.661 1.055 -0.8028 75.92
1733.0 16867 -8.383 98.515 3.780 116.662 5.467 1.514 2.877 1791 2512 2152 -2.697 1.1 -0.7986 75.89
1743.0 16703 -8.531 98.992 3.807 115.784 5.413 1.51 2.858 1820 2489 2154 -2.731 1.135 -0.7978 75.83
1753.0 16564 -8.872 99.453 3.790 115.029 5.36 1.503 2.838 1849 2474 2161 -2.765 1.165 -0.7996 75.8
1763.0 16418 -9.203 99.905 3.578 114.187 5.307 1.494 2.816 1880 2456 2168 -2.792 1.188 -0.8018 75.76
1773.0 16279 -9.441 100.293 3.594 113.470 5.253 1.483 2.791 1911 2447 2179 -2.816 1.208 -0.8038 75.72
1783.0 16152 -9.687 100.904 3.502 112.648 5.209 1.473 2.769 1949 2429 2189 -2.845 1.22 -0.8122 75.66
1793.0 16152 -10.572 102.465 3.482 112.037 5.213 1.467 2.765 2013 2406 2209 -2.915 1.225 -0.8449 75.66
1803.0 16152 -11.456 104.037 3.462 111.423 5.218 1.462 2.762 2077 2382 2230 -2.983 1.227 -0.8781 75.66
1813.0 16152 -12.340 105.619 3.441 110.807 5.224 1.459 2.76 2142 2358 2250 -3.049 1.226 -0.9115 75.66
1823.0 16147 -13.205 107.191 3.468 110.166 5.228 1.456 2.759 2207 2332 2270 -3.114 1.224 -0.9451 75.66
1833.0 15490 -11.199 103.116 3.985 108.595 4.992 1.43 2.671 2107 2337 2222 -2.933 1.246 -0.8432 75.47
1843.0 15373 -11.689 103.527 3.953 107.877 4.948 1.422 2.652 2140 2323 2231 -2.951 1.25 -0.8508 75.46
1853.0 15238 -12.243 103.712 3.915 107.139 4.897 1.415 2.632 2164 2310 2237 -2.955 1.254 -0.8506 75.44
1863.0 15112 -12.631 103.846 3.837 106.499 4.841 1.41 2.612 2186 2299 2243 -2.962 1.26 -0.8513 75.42
1873.0 14992 -12.970 104.116 3.900 105.803 4.794 1.403 2.593 2214 2286 2250 -2.973 1.264 -0.8547 75.4
1883.0 14885 -13.339 104.745 3.888 104.941 4.765 1.394 2.577 2254 2263 2258 -2.998 1.263 -0.8677 75.36
1893.0 14775 -13.501 105.258 3.700 104.126 4.729 1.384 2.558 2292 2243 2268 -3.021 1.265 -0.8782 75.3
1903.0 14663 -13.729 105.682 3.581 103.375 4.69 1.374 2.539 2327 2227 2277 -3.039 1.267 -0.8858 75.26
1913.0 14559 -13.943 106.235 3.562 102.569 4.655 1.364 2.52 2368 2208 2288 -3.068 1.269 -0.8993 75.22
1923.0 14455 -14.343 106.667 3.664 101.810 4.62 1.355 2.502 2405 2191 2298 -3.084 1.27 -0.9069 75.19
1933.0 14362 -14.716 107.118 3.579 101.143 4.583 1.347 2.484 2442 2177 2309 -3.104 1.274 -0.9154 75.17
1943.0 14273 -14.998 107.733 3.604 100.371 4.554 1.336 2.467 2486 2158 2322 -3.129 1.275 -0.9271 75.11
